valid_firstname ,valid_lastname ,valid_phone ,valid_ssn
valid_firstname ,valid_lastname ,valid_phone ,invalid_ssn
valid_firstname ,valid_lastname ,invalid_phone ,valid_ssn
valid_firstname ,valid_lastname ,invalid_phone ,invalid_ssn
valid_firstname ,invalid_lastname ,valid_phone ,valid_ssn
valid_firstname ,invalid_lastname ,valid_phone ,invalid_ssn
valid_firstname ,invalid_lastname ,invalid_phone ,valid_ssn
valid_firstname ,invalid_lastname ,invalid_phone ,invalid_ssn
invvalid_firstname ,valid_lastname ,valid_phone ,valid_ssn
invvalid_firstname ,valid_lastname ,valid_phone ,invalid_ssn
invvalid_firstname ,valid_lastname ,invalid_phone ,valid_ssn
invvalid_firstname ,valid_lastname ,invalid_phone ,invalid_ssn
invvalid_firstname ,invalid_lastname ,valid_phone ,valid_ssn
invvalid_firstname ,invalid_lastname ,valid_phone ,invalid_ssn
invvalid_firstname ,invalid_lastname ,invalid_phone ,valid_ssn
invvalid_firstname ,invalid_lastname ,invalid_phone ,invalid_ssn
