firstname_valid ,lastname_valid ,role_selected ,email_valid
firstname_valid ,lastname_valid ,role_selected ,email_invalid
firstname_valid ,lastname_valid ,role_not_selected ,email_valid
firstname_valid ,lastname_valid ,role_not_selected ,email_invalid
firstname_valid ,lastname_invalid ,role_selected ,email_valid
firstname_valid ,lastname_invalid ,role_selected ,email_invalid
firstname_valid ,lastname_invalid ,role_not_selected ,email_valid
firstname_valid ,lastname_invalid ,role_not_selected ,email_invalid
firstname_invalid ,lastname_valid ,role_selected ,email_valid
firstname_invalid ,lastname_valid ,role_selected ,email_invalid
firstname_invalid ,lastname_valid ,role_not_selected ,email_valid
firstname_invalid ,lastname_valid ,role_not_selected ,email_invalid
firstname_invalid ,lastname_invalid ,role_selected ,email_valid
firstname_invalid ,lastname_invalid ,role_selected ,email_invalid
firstname_invalid ,lastname_invalid ,role_not_selected ,email_valid
firstname_invalid ,lastname_invalid ,role_not_selected ,email_invalid
